word,frequency,category
知识,95,learning
思考,88,learning
理解,85,learning
探索,82,learning
智慧,80,learning
数学,75,subject
物理,72,subject
哲学,70,subject
艺术,68,subject
历史,65,subject
文学,63,subject
化学,60,subject
生物,58,subject
心理学,55,subject
计算机,52,subject
分析,48,method
逻辑,45,method
推理,42,method
创新,40,method
创造,38,method
综合,35,method
归纳,32,method
演绎,30,method
真理,45,concept
美,42,concept
善,40,concept
自由,38,concept
正义,35,concept
和谐,32,concept
平衡,30,concept
目标,42,goal
计划,40,goal
方向,38,goal
未来,35,goal
梦想,32,goal
愿景,30,goal
技能,28,skill
能力,25,skill
天赋,22,skill
潜力,20,skill
经验,18,skill
过程,15,process
状态,12,process
关系,10,process
结构,8,process
系统,5,process 
